2542,"с.","Балювица","MON","MON02","MON02-00",3,8,4,1483,11,133
2556,"с.","Банари","GAB","GAB12","GAB12-00",3,8,6,1483,7,134
2563,"с.","Бангейци","GAB","GAB35","GAB35-00",3,8,5,1483,7,135
2573,"с.","Банево","BGS","BGS04","BGS04-01",3,5,2,1483,2,136
2587,"с.","Баниска","RSE","RSE08","RSE08-01",3,5,3,1483,17,137
44402,"с.","Баните","SML","SML02","SML02-00",3,5,7,1483,20,138
2590,"с.","Баница","VRC","VRC10","VRC10-01",3,5,4,1483,6,139
2600,"с.","Баничан","BLG","BLG11","BLG11-01",3,6,6,1483,1,140
2614,"с.","Банище","PER","PER08","PER08-00",3,8,7,1483,13,141
2628,"с.","Банковец","TGV","TGV02","TGV02-00",3,8,5,1483,25,142
2631,"с.","Банковци","GAB","GAB05","GAB05-00",3,8,6,1483,7,143
2645,"с.","Банкя","PER","PER51","PER51-00",3,8,6,1483,13,144
2659,"гр.","Банкя","SOF","SOF46","SOF46-00",1,3,6,1483,21,145
2662,"с.","Баново","VAR","VAR26","VAR26-00",3,8,5,1483,3,146
2676,"гр.","Банско","BLG","BLG01","BLG01-00",1,3,7,1483,1,147
2689,"с.","Банчовци","SFO","SFO20","SFO20-00",3,8,7,1483,22,148
2693,"с.","Баня","BLG","BLG37","BLG37-01",3,5,7,1483,1,149
2703,"с.","Баня","BGS","BGS15","BGS15-01",3,7,3,1483,2,150
2717,"с.","Баня","PAZ","PAZ20","PAZ20-01",3,6,5,1483,12,151
2720,"гр.","Баня","PDV","PDV13","PDV13-01",1,4,4,1483,15,152
2734,"с.","Баня","SLV","SLV16","SLV16-02",3,5,4,1483,19,153
2748,"с.","Бараково","KNL","KNL27","KNL27-01",3,5,5,1483,9,154
2751,"с.","Бараци","KRZ","KRZ15","KRZ15-20",3,7,4,1483,8,155
2779,"с.","Барутин","SML","SML10","SML10-01",3,5,8,1483,20,156
2796,"с.","Басарбово","RSE","RSE27","RSE27-01",3,5,1,1483,17,157
2806,"с.","Баскалци","BLG","BLG33","BLG33-00",3,8,7,1483,1,158
2810,"с.","Бата","BGS","BGS17","BGS17-03",3,6,3,1483,2,159
2823,"с.","Батак","VTR","VTR22","VTR22-01",3,6,3,1483,4,160
2837,"гр.","Батак","PAZ","PAZ03","PAZ03-00",1,4,7,1483,12,161
72223,"гр.","Батановци","PER","PER32","PER32-18",1,4,6,1483,13,162
2854,"с.","Батин","RSE","RSE03","RSE03-01",3,6,2,1483,17,163
2868,"с.","Батишница","RSE","RSE08","RSE08-02",3,5,4,1483,17,164
2871,"с.","Батово","DOB","DOB15","DOB15-03",3,6,2,1483,24,165
2885,"с.","Батошево","GAB","GAB29","GAB29-02",3,6,4,1483,7,166
2899,"с.","Батулия","SFO","SFO43","SFO43-00",3,7,6,1483,22,167
2909,"с.","Батулци","LOV","LOV38","LOV38-01",3,7,5,1483,10,168
2912,"с.","Баурене","VRC","VRC21","VRC21-01",3,7,3,1483,6,169
2926,"с.","Бахалин","SFO","SFO45","SFO45-00",3,8,6,1483,22,170
2935,"с.","Баховица","LOV","LOV18","LOV18-03",3,6,4,1483,10,171
2943,"с.","Бахреци","GAB","GAB35","GAB35-00",3,8,6,1483,7,172
2957,"с.","Бацова махала","PVN","PVN21","PVN21-02",3,7,1,1483,14,173
2960,"с.","Бачево","BLG","BLG37","BLG37-02",3,5,7,1483,1,174
2974,"с.","Бачково","PDV","PDV01","PDV01-23",3,7,5,1483,15,175
2991,"с.","Башево","KRZ","KRZ02","KRZ02-02",3,7,7,1483,8,176
3006,"с.","Бащино","KRZ","KRZ16","KRZ16-01",3,7,5,1483,8,177
3017,"с.","Бащино","SLS","SLS07","SLS07-01",3,7,3,1483,18,178
3023,"с.","Бащино","SZR","SZR23","SZR23-00",3,8,3,1483,23,179
3037,"с.","Баячево","TGV","TGV35","TGV35-03",3,6,4,1483,25,180
3040,"с.","Бдинци","DOB","DOB15","DOB15-00",3,7,4,1483,24,181
3054,"с.","Беброво","VTR","VTR13","VTR13-01",3,7,5,1483,4,182
3068,"с.","Беглеж","PVN","PVN24","PVN24-01",3,6,4,1483,14,183
